id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
481196,Female,22,1,15.0,0,< 1 Year,Yes,2630.0,152.0,198
470333,Female,21,1,35.0,1,< 1 Year,No,30560.0,152.0,294
444946,Male,25,1,14.0,1,< 1 Year,No,30302.0,152.0,57
485821,Male,59,1,28.0,1,1-2 Year,No,26528.0,122.0,263
407401,Female,69,1,43.0,0,1-2 Year,Yes,32596.0,26.0,73
484883,Female,28,1,21.0,1,< 1 Year,No,30259.0,152.0,48
415928,Male,22,1,17.0,1,< 1 Year,No,55126.0,152.0,249
391535,Male,41,1,9.0,0,> 2 Years,Yes,28610.0,26.0,62
439322,Male,24,1,8.0,1,< 1 Year,No,37653.0,152.0,142
398799,Female,39,1,28.0,0,1-2 Year,Yes,35892.0,124.0,191
506380,Male,45,1,28.0,1,1-2 Year,No,32220.0,23.0,104
487709,Female,20,1,14.0,0,< 1 Year,No,37096.0,160.0,14
393163,Male,21,1,30.0,1,< 1 Year,No,35882.0,152.0,57
475026,Female,30,1,46.0,0,< 1 Year,Yes,2630.0,121.0,256
495606,Male,24,1,50.0,1,< 1 Year,No,2630.0,152.0,78
448343,Female,39,1,28.0,0,1-2 Year,No,38592.0,124.0,214
393465,Female,65,1,28.0,0,1-2 Year,Yes,26324.0,26.0,76
393995,Female,31,1,50.0,1,< 1 Year,No,31329.0,8.0,298
464969,Male,38,1,28.0,0,1-2 Year,Yes,37313.0,124.0,106
481100,Male,47,1,28.0,0,1-2 Year,Yes,41313.0,124.0,126
393013,Female,23,1,3.0,1,< 1 Year,No,40808.0,26.0,210
399731,Female,74,1,3.0,1,1-2 Year,No,32580.0,129.0,75
381823,Female,20,1,34.0,0,< 1 Year,Yes,34296.0,160.0,182
441476,Male,63,1,41.0,1,1-2 Year,No,31502.0,26.0,266
382951,Female,24,1,32.0,1,< 1 Year,Yes,37573.0,151.0,254
436989,Male,41,1,41.0,1,1-2 Year,No,32886.0,26.0,60
460485,Male,46,1,8.0,0,1-2 Year,Yes,40894.0,26.0,238
473000,Male,41,1,12.0,0,1-2 Year,Yes,2630.0,155.0,248
398801,Female,41,1,28.0,1,1-2 Year,No,47521.0,26.0,269
393868,Male,22,1,46.0,1,< 1 Year,No,28467.0,160.0,203
431666,Female,25,1,36.0,1,< 1 Year,No,33355.0,152.0,120
429682,Male,55,1,33.0,1,1-2 Year,No,2630.0,156.0,171
418218,Female,45,1,8.0,1,1-2 Year,No,41642.0,26.0,108
435046,Female,26,1,33.0,1,< 1 Year,No,25409.0,152.0,221
413640,Female,26,1,15.0,0,< 1 Year,No,2630.0,152.0,251
395022,Male,74,1,4.0,0,1-2 Year,Yes,33123.0,124.0,41
410447,Male,29,1,15.0,1,< 1 Year,No,43377.0,152.0,41
467886,Male,24,1,8.0,1,< 1 Year,No,21562.0,152.0,188
479972,Male,27,1,11.0,1,< 1 Year,No,37833.0,152.0,77
469189,Female,29,1,28.0,0,< 1 Year,Yes,2630.0,26.0,44
387380,Female,32,1,8.0,1,< 1 Year,No,2630.0,152.0,263
384643,Female,23,1,46.0,1,< 1 Year,No,21099.0,151.0,144
412387,Male,41,1,14.0,0,1-2 Year,Yes,22193.0,124.0,293
398630,Male,21,1,15.0,1,< 1 Year,Yes,56335.0,152.0,263
459045,Male,23,1,15.0,1,< 1 Year,No,40404.0,151.0,32
392604,Female,26,1,50.0,1,< 1 Year,No,2630.0,152.0,26
463732,Female,53,1,8.0,0,1-2 Year,Yes,45415.0,26.0,233
467387,Female,22,1,46.0,1,< 1 Year,No,38733.0,152.0,262
503933,Female,56,1,16.0,1,1-2 Year,No,29657.0,160.0,56
451899,Male,22,1,46.0,0,< 1 Year,No,25292.0,152.0,228
499087,Female,27,1,25.0,1,< 1 Year,No,25076.0,152.0,36
418920,Male,23,1,18.0,1,1-2 Year,No,29124.0,26.0,146
474114,Male,24,1,35.0,1,< 1 Year,No,22795.0,152.0,104
409861,Female,44,1,28.0,0,1-2 Year,Yes,52412.0,26.0,138
429639,Male,41,1,36.0,0,1-2 Year,Yes,32876.0,124.0,184
468431,Female,30,1,8.0,0,< 1 Year,Yes,34733.0,152.0,99
446329,Female,54,1,28.0,0,1-2 Year,Yes,49355.0,154.0,215
505276,Male,46,1,11.0,0,1-2 Year,Yes,2630.0,124.0,154
411822,Male,21,1,9.0,0,< 1 Year,Yes,26811.0,152.0,157
410820,Male,49,1,8.0,0,1-2 Year,Yes,40724.0,26.0,189
501806,Male,61,1,3.0,0,1-2 Year,Yes,2630.0,26.0,197
494741,Female,23,1,50.0,1,< 1 Year,No,44407.0,151.0,205
439056,Male,43,1,28.0,0,1-2 Year,Yes,47195.0,122.0,38
507504,Female,48,1,28.0,0,1-2 Year,Yes,26576.0,26.0,105
402215,Female,23,1,14.0,0,< 1 Year,Yes,23042.0,152.0,186
432548,Male,23,1,10.0,0,< 1 Year,No,2630.0,151.0,58
500763,Male,31,1,29.0,0,< 1 Year,Yes,31750.0,152.0,199
397804,Male,26,1,18.0,0,1-2 Year,Yes,2630.0,156.0,225
493776,Male,42,1,28.0,0,> 2 Years,Yes,33205.0,26.0,141
491785,Male,41,1,43.0,0,1-2 Year,Yes,21578.0,124.0,228
489132,Female,24,1,30.0,1,< 1 Year,No,29423.0,152.0,241
442204,Female,53,1,50.0,0,1-2 Year,Yes,50251.0,8.0,291
399588,Male,37,1,29.0,0,1-2 Year,Yes,28658.0,124.0,283
484820,Male,56,1,36.0,0,1-2 Year,Yes,30986.0,26.0,296
426826,Female,22,1,46.0,1,< 1 Year,No,30701.0,152.0,54
448920,Female,24,1,8.0,1,< 1 Year,No,37324.0,152.0,109
409565,Female,25,1,47.0,1,< 1 Year,No,50850.0,152.0,13
