id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
491724,Female,36,1,29.0,0,1-2 Year,Yes,2630.0,156.0,56
468163,Female,43,1,21.0,0,1-2 Year,Yes,32003.0,124.0,162
419450,Male,22,1,28.0,1,< 1 Year,No,31631.0,160.0,128
384310,Male,25,1,50.0,1,< 1 Year,No,31831.0,152.0,262
385006,Male,33,1,41.0,1,< 1 Year,No,38284.0,152.0,256
479879,Female,22,1,8.0,0,1-2 Year,Yes,61626.0,124.0,120
394956,Female,28,1,30.0,1,< 1 Year,No,25345.0,152.0,244
441421,Male,52,1,20.0,0,> 2 Years,Yes,2630.0,26.0,264
382073,Male,25,1,11.0,1,< 1 Year,No,32819.0,152.0,298
476400,Male,60,1,8.0,1,1-2 Year,Yes,2630.0,26.0,164
486793,Male,43,1,34.0,0,1-2 Year,Yes,33992.0,124.0,153
416312,Female,41,1,28.0,0,1-2 Year,Yes,2630.0,157.0,170
424282,Male,24,1,22.0,0,< 1 Year,Yes,2630.0,152.0,38
407150,Male,26,1,45.0,1,< 1 Year,No,41984.0,152.0,291
433414,Male,35,1,19.0,0,1-2 Year,Yes,27981.0,124.0,258
481840,Male,20,1,46.0,1,< 1 Year,No,41610.0,160.0,163
399424,Female,21,1,41.0,1,< 1 Year,No,29672.0,152.0,62
501535,Female,79,1,28.0,0,1-2 Year,Yes,2630.0,26.0,135
423270,Female,67,1,8.0,0,1-2 Year,Yes,30390.0,124.0,175
446350,Male,56,1,0.0,1,1-2 Year,No,2630.0,55.0,271
423672,Male,38,1,28.0,0,1-2 Year,Yes,2630.0,124.0,131
403080,Female,31,1,12.0,1,< 1 Year,No,2630.0,151.0,191
397630,Female,73,1,28.0,1,1-2 Year,No,36832.0,139.0,177
403878,Male,42,1,11.0,0,1-2 Year,Yes,55942.0,124.0,51
403436,Female,24,1,6.0,1,< 1 Year,No,37715.0,152.0,87
403378,Male,41,1,28.0,0,1-2 Year,Yes,2630.0,124.0,290
478228,Male,55,1,28.0,0,1-2 Year,Yes,44360.0,124.0,293
439218,Male,58,1,14.0,0,1-2 Year,Yes,26303.0,26.0,247
441561,Female,24,1,28.0,0,< 1 Year,Yes,49769.0,152.0,134
439729,Male,30,1,18.0,1,< 1 Year,Yes,37862.0,152.0,10
476316,Female,45,1,29.0,0,1-2 Year,Yes,33183.0,26.0,48
425161,Male,22,1,8.0,1,< 1 Year,No,27387.0,160.0,179
464468,Male,58,1,37.0,1,1-2 Year,No,35605.0,124.0,114
387686,Male,39,1,30.0,1,1-2 Year,No,2630.0,152.0,252
419037,Male,56,1,24.0,0,1-2 Year,Yes,2630.0,124.0,181
395290,Male,80,1,6.0,1,1-2 Year,No,30449.0,26.0,39
432025,Male,64,1,8.0,1,1-2 Year,No,38968.0,124.0,95
454205,Female,52,1,48.0,1,1-2 Year,No,2630.0,26.0,274
443319,Male,53,1,28.0,0,1-2 Year,Yes,48399.0,26.0,233
479546,Male,23,1,8.0,1,< 1 Year,No,52169.0,152.0,23
455246,Female,27,1,21.0,1,< 1 Year,No,19871.0,152.0,112
413413,Female,74,1,28.0,0,1-2 Year,Yes,36338.0,124.0,42
439685,Female,34,1,28.0,0,1-2 Year,No,26267.0,124.0,212
496766,Male,27,1,23.0,1,1-2 Year,No,2630.0,124.0,197
419498,Male,70,0,28.0,0,1-2 Year,Yes,26438.0,26.0,59
419070,Female,24,1,50.0,1,< 1 Year,No,34953.0,152.0,138
393838,Male,28,1,9.0,0,1-2 Year,Yes,2630.0,157.0,191
440930,Male,25,1,36.0,0,< 1 Year,No,31432.0,152.0,32
473003,Male,56,1,37.0,0,1-2 Year,Yes,35421.0,26.0,200
444573,Male,41,1,48.0,1,1-2 Year,No,2630.0,124.0,42
435296,Male,52,1,8.0,0,1-2 Year,Yes,37674.0,124.0,10
450062,Male,62,1,28.0,0,1-2 Year,Yes,30706.0,26.0,272
383733,Male,31,1,47.0,0,< 1 Year,Yes,44429.0,26.0,55
419318,Male,23,1,23.0,1,< 1 Year,No,23685.0,152.0,169
413094,Female,53,1,28.0,0,1-2 Year,Yes,27107.0,24.0,142
460168,Male,47,1,28.0,0,1-2 Year,No,44720.0,124.0,44
427197,Male,66,1,28.0,0,1-2 Year,Yes,2630.0,52.0,235
466763,Female,27,1,21.0,1,< 1 Year,No,28379.0,152.0,271
421091,Male,38,1,26.0,0,1-2 Year,Yes,2630.0,156.0,57
444860,Male,44,1,37.0,0,1-2 Year,Yes,2630.0,124.0,279
459152,Male,23,1,8.0,1,< 1 Year,No,33909.0,26.0,228
461254,Male,23,1,8.0,0,< 1 Year,Yes,34800.0,152.0,169
453327,Female,42,1,28.0,1,1-2 Year,No,40379.0,26.0,129
443392,Male,36,1,30.0,0,1-2 Year,Yes,29631.0,124.0,111
416837,Male,48,1,8.0,0,1-2 Year,Yes,41862.0,124.0,220
414141,Female,61,1,52.0,0,1-2 Year,No,2630.0,26.0,70
437058,Male,44,1,29.0,0,1-2 Year,Yes,40007.0,26.0,262
406093,Female,42,1,28.0,0,1-2 Year,Yes,46410.0,26.0,85
395629,Female,40,1,48.0,0,1-2 Year,Yes,2630.0,15.0,167
450604,Male,39,1,8.0,0,1-2 Year,Yes,26307.0,124.0,73
448053,Female,30,1,28.0,0,< 1 Year,Yes,46764.0,124.0,256
415701,Male,66,1,37.0,0,1-2 Year,Yes,26628.0,124.0,35
484073,Male,26,1,3.0,1,< 1 Year,No,33892.0,152.0,97
445065,Male,24,1,46.0,1,< 1 Year,No,26822.0,152.0,124
474039,Female,24,1,46.0,1,< 1 Year,No,31664.0,152.0,107
465033,Male,34,1,28.0,0,1-2 Year,No,2630.0,124.0,95
479664,Male,40,1,6.0,0,1-2 Year,Yes,30583.0,26.0,242
435251,Female,27,1,35.0,1,< 1 Year,No,26938.0,152.0,107
434191,Female,44,1,28.0,0,1-2 Year,Yes,64107.0,26.0,197
499415,Male,56,1,8.0,0,1-2 Year,Yes,40405.0,7.0,38
468556,Male,48,1,7.0,0,1-2 Year,Yes,71674.0,124.0,56
392243,Female,25,1,28.0,1,< 1 Year,No,42645.0,152.0,91
405911,Male,25,1,35.0,1,< 1 Year,No,32567.0,152.0,258
460555,Male,42,1,28.0,0,1-2 Year,Yes,24938.0,26.0,182
505743,Male,54,1,50.0,0,1-2 Year,Yes,39796.0,124.0,31
427879,Female,21,1,13.0,0,< 1 Year,No,32482.0,152.0,177
452640,Female,25,1,37.0,1,< 1 Year,No,33211.0,152.0,126
434309,Male,26,1,28.0,1,< 1 Year,No,58200.0,152.0,206
462186,Female,62,1,28.0,0,1-2 Year,No,43576.0,124.0,289
386285,Male,27,1,28.0,1,1-2 Year,No,2630.0,157.0,176
